timestamp,dsapi-thick-gusty-rest-Newcastle.NewcastleEnergyCentreB001.E1_01_MS1.VoltageAN
2022-02-27T01:08:35.962Z,235
2022-02-27T01:13:36.633Z,234
2022-02-27T01:18:35.949Z,234
2022-02-27T01:23:35.912Z,235
2022-02-27T01:28:36.642Z,235
2022-02-27T01:33:35.981Z,235
2022-02-27T01:38:36.003Z,234
2022-02-27T01:43:36.574Z,234
2022-02-27T01:48:35.948Z,234
2022-02-27T01:53:35.944Z,234
2022-02-27T01:57:41.486Z,235
2022-02-27T01:58:36.364Z,236
2022-02-27T02:03:35.976Z,234
2022-02-27T02:08:36.000Z,235
2022-02-27T02:13:36.655Z,235
2022-02-27T02:18:35.998Z,234
2022-02-27T02:23:35.997Z,234
2022-02-27T02:28:36.618Z,236
2022-02-27T02:33:35.964Z,235
2022-02-27T02:38:36.009Z,235
2022-02-27T02:43:36.677Z,235
2022-02-27T02:48:35.905Z,235
2022-02-27T02:53:36.217Z,235
2022-02-27T02:58:36.663Z,235
2022-02-27T03:03:36.002Z,236
2022-02-27T03:08:35.954Z,236
2022-02-27T03:13:36.643Z,236
2022-02-27T03:18:36.057Z,236
2022-02-27T03:23:35.981Z,235
2022-02-27T03:28:36.685Z,235
2022-02-27T03:33:36.225Z,236
2022-02-27T03:38:36.504Z,234
2022-02-27T03:43:36.639Z,235
2022-02-27T03:48:36.009Z,235
2022-02-27T03:53:35.983Z,235
2022-02-27T03:58:36.601Z,235
2022-02-27T04:03:35.988Z,235
2022-02-27T04:08:36.159Z,235
2022-02-27T04:13:36.645Z,235
2022-02-27T04:18:35.944Z,234
2022-02-27T04:23:35.951Z,235
2022-02-27T04:28:36.650Z,234
2022-02-27T04:33:35.967Z,234
2022-02-27T04:38:36.027Z,234
2022-02-27T04:43:36.617Z,234
2022-02-27T04:48:35.932Z,235
2022-02-27T04:53:36.002Z,235
2022-02-27T04:58:36.615Z,235
2022-02-27T05:03:35.948Z,233
2022-02-27T05:08:35.938Z,233
2022-02-27T05:13:36.650Z,235
2022-02-27T05:18:36.007Z,235
2022-02-27T05:23:35.976Z,235
2022-02-27T05:28:36.595Z,235
2022-02-27T05:33:35.966Z,236
2022-02-27T05:38:36.008Z,236
2022-02-27T05:43:36.766Z,236
2022-02-27T05:48:35.941Z,236
2022-02-27T05:53:35.984Z,236
2022-02-27T05:58:36.684Z,235
2022-02-27T06:03:36.035Z,234
2022-02-27T06:08:36.277Z,235
